id,task,score,diagnosis
1,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,34.62,"Force=793.9N, Dist>0.2m, Slow/Back"
3,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,36.19,"Force=148.5N, Dist>0.2m, Slow/Back"
4,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,35.7,"Force=191.7N, Dist>0.2m, Slow/Back"
5,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,33.87,"Force=211.0N, Dist>0.2m, Slow/Back"
6,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,40.59,"Force=312.6N, Dist>0.2m"
7,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,24.78,"Force=116.6N, Dist>0.2m, Slow/Back"
8,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,31.11,"Force=499.4N, Dist>0.2m, Slow/Back"
10,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,47.3,"Force=42.7N, Dist>0.2m"
11,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,22.69,"Force=165.9N, Dist>0.2m, Slow/Back"
12,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,59.4,Dist>0.2m
14,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,49.89,"Force=49.6N, Dist>0.2m"
15,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,43.55,"Dist>0.2m, Slow/Back"
16,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,50.29,"Force=60.7N, Dist>0.2m"
17,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,38.83,"Dist>0.2m, Slow/Back"
19,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,56.76,"Force=115.2N, Dist>0.2m"
21,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,28.1,"Force=287.8N, Dist>0.2m, Slow/Back"
22,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,54.13,Force=194.1N
