id,status,task,target,base,note
0,✅ OK,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 43.2
1,✅ OK,KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 39.38
2,✅ OK,KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,akita_black_bowl_1_main,wooden_cabinet_1_main,Score Test: 64.69
3,✅ OK,KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 38.28
4,✅ OK,KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 38.44
5,✅ OK,KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 52.9
6,✅ OK,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 81.24
7,✅ OK,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 85.72
8,✅ OK,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 77.0
9,✅ OK,KITCHEN_SCENE1_put_the_black_bowl_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 63.91
10,✅ OK,KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,wooden_cabinet_1_main,Score Test: 30.01
11,✅ OK,KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet,wooden_cabinet_1_main,wooden_cabinet_1_main,Score Test: 89.07
12,✅ OK,KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 54.79
13,✅ OK,KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 68.96
14,✅ OK,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 80.61
15,✅ OK,KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,wooden_cabinet_1_main,Score Test: 87.93
16,✅ OK,KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle,akita_black_bowl_1_main,plate_1_main,Score Test: 90.52
17,✅ OK,KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl,akita_black_bowl_1_main,plate_1_main,Score Test: 90.49
18,✅ OK,KITCHEN_SCENE3_put_the_frying_pan_on_the_stove,chefmate_8_frypan_1_main,flat_stove_1_main,Score Test: 80.42
19,✅ OK,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,moka_pot_1_main,flat_stove_1_main,Score Test: 83.98
20,✅ OK,KITCHEN_SCENE3_turn_on_the_stove,flat_stove_1_main,flat_stove_1_main,Score Test: 43.13
21,✅ OK,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it,flat_stove_1_main,flat_stove_1_main,Score Test: 75.63
22,✅ OK,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet,white_cabinet_1_main,white_cabinet_1_main,Score Test: 47.52
23,✅ OK,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer,white_cabinet_1_main,white_cabinet_1_main,Score Test: 31.92
24,✅ OK,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 62.43
25,✅ OK,KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 88.06
26,✅ OK,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet,wine_bottle_1_main,white_cabinet_1_main,Score Test: 62.58
27,✅ OK,KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack,wine_bottle_1_main,wine_rack_1_main,Score Test: 57.8
28,✅ OK,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet,white_cabinet_1_main,white_cabinet_1_main,Score Test: 44.03
29,✅ OK,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 87.42
30,✅ OK,KITCHEN_SCENE5_put_the_black_bowl_on_the_plate,akita_black_bowl_1_main,plate_1_main,Score Test: 83.38
31,✅ OK,KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet,akita_black_bowl_1_main,white_cabinet_1_main,Score Test: 82.59
32,✅ OK,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet,ketchup_1_main,white_cabinet_1_main,Score Test: 78.04
33,✅ OK,KITCHEN_SCENE6_close_the_microwave,microwave_1_main,microwave_1_main,Score Test: 42.63
34,✅ OK,KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug,white_yellow_mug_1_main,,Score Test: 67.43
35,✅ OK,KITCHEN_SCENE7_open_the_microwave,microwave_1_main,microwave_1_main,Score Test: 72.46
36,✅ OK,KITCHEN_SCENE7_put_the_white_bowl_on_the_plate,plate_1_main,plate_1_main,Score Test: 54.24
37,✅ OK,KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate,plate_1_main,plate_1_main,Score Test: 47.26
38,✅ OK,KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove,moka_pot_1_main,flat_stove_1_main,Score Test: 59.14
39,✅ OK,KITCHEN_SCENE8_turn_off_the_stove,flat_stove_1_main,flat_stove_1_main,Score Test: 65.8
40,✅ OK,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf,chefmate_8_frypan_1_main,,Score Test: 75.75
41,✅ OK,KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet,chefmate_8_frypan_1_main,,Score Test: 29.77
42,✅ OK,KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf,chefmate_8_frypan_1_main,,Score Test: 68.69
43,❌ MAP,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet,,,Target Not Found
